"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Neskutečně se stalo skutkem.","Anonymous",0,"Reflection","2023-10-04T13:55:40.018Z","","🏆 What does success look like?","Neskutečně se stalo skutkem. Vašek 🐴 se mi po roce omluvil za svoje chování na začátku roku ohledně domlouvání výuky na UHK a další... 🤔"
"Platby na kontakt. Spící věc,","Anonymous",0,"Reflection","2023-10-04T06:28:04.688Z","","🚧 What does failure look like?","Platby na kontakt. Spící věc, co se najednou probudila a jako bruselská hydra likviduje všechno co je kolem svým ekoterorizmem.

Aneb první krize v AirBance, která mi připomněla práci na Brewee. 🤔

Je čas se posunout dál?"
"Vítáme mezi sebou milionáře","Anonymous",0,"Reflection","2023-09-25T14:10:10.397Z","","🏆 What does success look like?","Vítáme mezi sebou milionáře Jakuba a Vladimíra aneb, jak se dá na tinderu vydělávat? 🤩"
"Wtf Semafory na rychlost","Anonymous",0,"Reflection","2023-10-27T16:49:20.349Z","","🚧 What does failure look like?","Semafory na rychlost, wtf is this maktošukajicí shit?"
"Proč se z lidí za volantem","Anonymous",0,"Reflection","2023-10-27T15:32:38.577Z","","🏆 What does success look like?","Proč se z lidí za volantem stávají zvířata? Je to tím, že se koupí vozu zadlužili a snaží se si tuto ""investici"" ospravedlnit rychlou jízdou?"
"MatchReply je","Anonymous",0,"Reflection","2023-10-27T14:25:06.454Z","","🏆 What does success look like?","MatchReply je production-ready?"
"Spring schedulers","Anonymous",0,"Reflection","2023-10-27T13:30:15.628Z","","🚧 What does failure look like?","Spring schedulers and coroutines"
"Kmm","Anonymous",0,"Reflection","2023-10-27T13:59:19.578Z","","🚧 What does failure look like?","KMM


"
"Montana na půl","Anonymous",0,"Reflection","2023-10-27T13:59:07.543Z","","🏆 What does success look like?","Montana na půl roku "
"Rfp Vip","Anonymous",0,"Reflection","2023-10-27T11:24:17.929Z","","🚧 What does failure look like?","listek na VIP RfP za 14k"
"Právě teď představují nový","Anonymous",0,"Reflection","2023-10-27T10:17:17.893Z","","🏆 What does success look like?","Právě teď představují nový onewheel. Jdete do toho? 




https://www.youtube.com/watch?v=EFfDygh3miE"
"Řezání hlav dětí Hamásem vs.","Anonymous",0,"Reflection","2023-10-27T09:56:13.855Z","","🚧 What does failure look like?","Řezání hlav dětí Hamásem vs. Izraelští ortodoxní židé.




Jsou nábožní lidi dementní? Je to lidmi nebo náboženstvím? Cestování v tomto světě ano nebo ne?"
"AI tooly jsou čím dál lepší a","Anonymous",0,"Reflection","2023-10-27T09:55:23.304Z","","🏆 What does success look like?","AI tooly jsou čím dál lepší a práce je zábavnější. Po prvotním šoku to vypadá, že to tak ještě chvíli bude. Jak dlouho nám zbývá?"
"⚠️ DEEP TALK WARNING","Anonymous",0,"Reflection","2023-10-27T09:46:51.862Z","","🏆 What does success look like?","⚠️ DEEP TALK WARNING ⚠️

Doporučuje se probrat až v pozdním průběhu večera




Hypotetická situace: Máte absolutní svobodu a můžete v životě dělat co chcete. Jak moc je to vzdálené vašemu momentálnímu žití a proč?"
"Domací pohoda aneb je dobré","Anonymous",0,"Reflection","2023-10-27T09:45:00.856Z","","🏆 What does success look like?","Domací pohoda aneb je dobré mít holku, co umí vařit 🥣




Konzervativní vs. moderní rodina, kdo dělá co a jak je to správně. 👪"
"Spadám do kategorie pracující","Anonymous",0,"Reflection","2023-10-27T09:41:58.621Z","","🚧 What does failure look like?","Spadám do kategorie pracující žebrota, když dělám za stejné peníze od ledna 2022? 




Kdy nastává zlomový bod pro stěhování do Libně?"
"Elektrická auta jsou","Anonymous",0,"Reflection","2023-10-27T09:35:00.470Z","","🚧 What does failure look like?","Elektrická auta jsou budoucnost a Evropa v tom nefiguruje, change my mind"
"Je přetahování se o Netflix","Anonymous",0,"Reflection","2023-10-27T09:30:01.482Z","","🚧 What does failure look like?","Je přetahování se o Netflix výrazem šetřivosti nebo žebroty?"
"Nákupem Tesly přímo","Anonymous",0,"Reflection","2023-10-27T09:29:56.548Z","","🚧 What does failure look like?","Nákupem Tesly přímo podporujeme lobotomilního rusofilckého Muska, proč neexistuje opensource elektrické auto, které dělá to co má?"
"Retrospektiva - chceme","Anonymous",0,"Reflection","2023-10-27T09:21:34.855Z","","🚧 What does failure look like?","Retrospektiva - chceme kvalitu nebo kvantitu? 🤔"
"Moje tričko ústav pro studium","Anonymous",0,"Reflection","2023-10-27T09:14:18.091Z","","🏆 What does success look like?","Moje tričko ústav pro studium internetových idiotů poprvé přineslo své ovace. Pán v Hornbachu z toho nebyl moc nadšenej a moc se se mnou nebavil, když jsem potřeboval poradit s výběrem stolní desky. Můžu být rád, že mě nepřejel destou 😀"
"Matěj konečně v pražské","Anonymous",0,"Reflection","2023-10-26T15:50:02.466Z","","🏆 What does success look like?","Matěj konečně v pražské firmě? Jak je na tom s hledáním?"
"Gaza strip by měl být ňůknut?","Anonymous",0,"Reflection","2023-10-09T18:29:19.810Z","","🏆 What does success look like?","Gaza strip by měl být ňůknut? Mají Palestinci nárok na to území co si narokuji? Proč se v médiích mluví jen o mrtvých izraelských dětech, když mrtvých Palestinců je mnohem víc?"
"Proč mi píše","Anonymous",0,"Reflection","2023-10-26T15:49:51.794Z","","🏆 What does success look like?","Proč mi píše Šimon?"
"Jeden kamarád mě pasivně","Anonymous",0,"Reflection","2023-10-26T16:54:58.246Z","","🏆 What does success look like?","Jeden kamarád mě pasivně agresivně nutí pít a druhý mě aktivně agresivně nutí cvičit. Co mám dělat?"
"Silové tréninky u žen, chtějí","Anonymous",0,"Reflection","2023-10-20T20:55:17.074Z","","🏆 What does success look like?","Silové tréninky u žen, chtějí nabírat svalový objem 💕 Mate radi svalnate zeny?"
"Kozy nebo","Anonymous",0,"Reflection","2023-10-26T13:37:54.753Z","","🏆 What does success look like?","Kozy nebo zadek?"
"musis byt buzik nebo mit","Anonymous",0,"Reflection","2023-10-26T13:37:23.358Z","","🚧 What does failure look like?","musis byt buzik nebo mit nedostatek estrogenu, aby si chtel jezdit v elektroautu?"
"To si takhle nastoupíš do","Anonymous",0,"Reflection","2023-10-26T05:59:16.351Z","","🚧 What does failure look like?","To si takhle nastoupíš do premka v leo.. očekáváš jako vždy práci v klídečku bez sluchátek na vlastních projektech s flatwhitem. A místo toho jsou tu 2 coury starý, (co sem nepatří) a píčují jak by si tu deku určitě nepůjčily a vybíraly telefon k vánocům, který bude kupovat její syn a řekla mu kolik minimálně musí stát.

V sedačkách neuměly ani sedět, takže tu často nejezdí. Svině (pardon, to mi ujelo, ale hrozně mi to zničilo den) 😠"
"Kolik procent HRistů je úplně","Anonymous",0,"Reflection","2023-10-25T16:15:27.402Z","","🚧 What does failure look like?","Kolik procent HRistů je úplně k hovnu? Aneb ""No já ještě ověřím u kolegů o jakou pozici se vlastně jedná, možná máte pravdu, že ten projekt obnáší něco úplně jiného než kvůli čemu vám volám."""
"Tipovačka: Jsem na HPP a beru","Anonymous",0,"Reflection","2023-10-20T07:34:30.072Z","","🚧 What does failure look like?","Tipovačka: Jsem na HPP a beru 100k hrubého. O kolik peněz za rok přijdu, pokud bych na té samé pozici byl na IČO? (Počítejme že na IČO pracuju jenom  měsíců, abych se reflektovala placená dovolená)"
"Mobilesoft.. synonymem","Anonymous",0,"Reflection","2023-10-25T14:42:25.531Z","","🚧 What does failure look like?","Mobilesoft.. synonymem shnilosti. Co vše se objevilo po odkrytí informací ze zákulisí od paní Office managerky aneb. Proč je Míra, Dančák, Šimon (a trochu i Káťa) to nejhorší co MS potkalo 😱"
"ANC ve sluchátkách jako","Anonymous",0,"Reflection","2023-10-19T22:17:07.189Z","","🏆 What does success look like?","ANC ve sluchátkách jako zachránce před vraždou.. Že přehráním? Nikoliv. Aneb cesta z Pha do Pce dvojkou a z přelouče busem.. ještě že jsem stihl rychlovku 🥰"
"Co se stalo Lambem","Anonymous",0,"Reflection","2023-10-22T09:01:17.091Z","","🚧 What does failure look like?","Co se stalo s Lambem? https://www.idnes.cz/zpravy/domaci/ucetni-kradez-falesne-faktury-ncoz.A230713_100703_domaci_tty/foto/TTY567ee8cf14_ViewImage_3_.jpg"
"Paní z UOL účetnictví (s","Anonymous",0,"Reflection","2023-10-21T12:12:56.537Z","","🚧 What does failure look like?","Paní z UOL účetnictví (s exekucemi) potrápila Kubu a Dušana aneb proč je zapotřebí zvýšit daně 😔"
"Sraz se ZŠ po 14","Anonymous",0,"Reflection","2023-10-19T22:15:54.689Z","","🚧 What does failure look like?","Sraz se ZŠ po 14 letech..dopiči.. to chce vlastní retro more...Je tady pár lidí: - sestra ve vězení za drogy - stop řízení na 18 měsíců - stop řízení s podmínkou odnětí svobody - střídavá péče- ukrajinci zmrdi -(neboj se nacenit všechno jako v Praze, když jsi v hovnech je jedno kde děláš) (instalatéři humor) - všichni chtějí 5l auta (no eko) - všichni jedou cíčka, trávu.. - všichni někde dlužej"
"Jak je na tom projekt","Anonymous",0,"Reflection","2023-10-19T13:52:48.078Z","","🏆 What does success look like?","Jak je na tom projekt Svatebka? Je už hotovo? Už se to nabízí a cinká to? 🤔"
"Elektrická auta jsou","Petr Weissar",0,"Comment","2023-10-27T16:54:47.175Z","Agree","","Agree"
